country,sum,sumWomen,sumMen,percentWomen,category
TAN,145,18,127,12.413793103448276,10
TCH,2054,348,1706,16.94255111976631,10
TGA,49,12,37,24.489795918367346,20
THA,638,190,448,29.780564263322884,20
TJK,69,17,52,24.637681159420293,20
TKM,62,26,36,41.935483870967744,40
TLS,11,6,5,54.54545454545454,50
TOG,55,9,46,16.363636363636363,10
TPE,744,293,451,39.38172043010753,30
TTO,271,64,207,23.616236162361623,20
TUN,570,110,460,19.298245614035086,10
TUR,1084,242,842,22.324723247232473,20
TUV,9,3,6,33.33333333333333,30
UAE,95,7,88,7.368421052631578,0
UAR,74,0,74,0,NA
UGA,247,47,200,19.02834008097166,10
UKR,1526,720,806,47.182175622542594,40
UNK,3,0,3,0,NA
URS,3230,767,2463,23.74613003095975,20
URU,462,38,424,8.225108225108226,0
USA,10869,3277,7592,30.149967798325513,30
UZB,456,129,327,28.289473684210524,20
VAN,34,10,24,29.411764705882355,20
VEN,736,175,561,23.777173913043477,20
VIE,141,66,75,46.808510638297875,40
VIN,39,13,26,33.33333333333333,30
VNM,44,3,41,6.8181818181818175,0
WIF,13,0,13,0,NA
YAR,10,0,10,0,NA
YEM,34,6,28,17.647058823529413,10
YMD,5,0,5,0,NA
YUG,1329,179,1150,13.46877351392024,10
ZAM,192,37,155,19.270833333333336,10
ZIM,234,80,154,34.18803418803419,30
